FID IID PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 y.null y
HG00108 HG00108 -0.0132594 0.0250029 0.00958141 -0.0217237 0.00200525 0.00452035 0.0094421 0.00917772 0.0409298 -0.00481173 -1.16951465811421 -8.56556647773451
HG00109 HG00109 -0.0134226 0.0260657 0.00946682 -0.0222204 -0.00192966 -0.00160095 0.00930255 0.00791375 -0.0148746 -0.00128664 -1.56258727631634 -4.81921804140645
HG00110 HG00110 -0.0132373 0.0254773 0.00844448 -0.0216425 -0.000962683 -0.000743278 0.0101353 0.00800927 -0.0121929 0.00102746 -1.32016286500195 -6.00643649878671
HG00111 HG00111 -0.0134184 0.025517 0.00976991 -0.0217908 0.00188982 0.0054555 0.00960698 0.011064 0.0414405 -0.00748488 0.646230176838878 -12.0077936715902
HG00112 HG00112 -0.0135132 0.0252008 0.00821537 -0.0208658 -0.000485068 0.00181012 0.00928116 0.00815679 -0.0130711 -0.000144816 -1.77242881719335 -4.89612642117894
HG00113 HG00113 -0.0134166 0.026191 0.00899106 -0.021014 -0.000548305 -0.00117673 0.0110935 0.00891732 -0.0119954 -0.00173327 -0.132476128538382 0.0318784629005083
HG00114 HG00114 -0.0133068 0.0255293 0.00802247 -0.020916 0.0014763 0.0036007 0.00761207 0.0083139 -0.00916731 -0.00225395 -1.32930183512697 -0.518418661060599
HG00115 HG00115 -0.0129291 0.026264 0.00747622 -0.0211156 -0.00212508 -0.00140498 0.00581663 0.00395284 -0.0186412 -0.00151494 -0.204663994253201 -8.23685267385262
HG00116 HG00116 -0.0131552 0.0257018 0.00877098 -0.0213747 0.000509617 0.0055704 0.00819145 0.00578279 0.00778739 0.00107736 1.07548725217499 -4.51719010566429
HG00117 HG00117 -0.0130345 0.0257775 0.00938035 -0.0218375 0.000210302 0.00531421 0.00869789 0.00752579 0.00918574 0.00075701 -1.49932087762459 -7.60728674214387
HG00118 HG00118 -0.013079 0.0262453 0.00853937 -0.0208078 -0.00114364 0.000121568 0.00614741 0.00411441 -0.0211849 -0.00361184 0.741840134665717 -11.6929126498406
HG00119 HG00119 -0.0130602 0.0257362 0.0107567 -0.0226806 0.0037123 0.00893092 0.00643595 0.00602295 0.0516132 -0.00475774 -1.07341460398948 -2.69692334171466
HG00120 HG00120 -0.0132499 0.0259236 0.00960945 -0.0223252 0.000213645 0.00458892 0.0083235 0.00621895 0.00454074 0.00103638 -0.31330664879974 0.368187449884141
HG00121 HG00121 -0.0134899 0.025785 0.00866293 -0.0210579 -0.000997575 0.000958126 0.0125698 0.0113755 -0.0106246 -0.000242476 0.292631699378746 0.626594150574435
HG00122 HG00122 -0.013139 0.0256352 0.00890238 -0.0209938 -0.00141905 0.00138116 0.00805945 0.00632414 -0.0171171 -0.00218986 0.0164730491419712 2.16200121495034
HG00123 HG00123 -0.0129687 0.0258559 0.00925764 -0.0219363 0.0030174 0.00875422 0.00412626 0.00636682 0.0412802 -0.00265624 0.343913695201381 -4.18409373002236
HG00125 HG00125 -0.0131352 0.0245089 0.00879905 -0.0201417 0.000734687 0.00270988 0.0118962 0.0121085 0.0032762 -0.000867558 1.23641483645104 0.620691624660216
HG00126 HG00126 -0.0132478 0.0266302 0.0083959 -0.0219168 -0.000855479 0.00126456 0.00485629 0.00395781 -0.017918 -0.00205086 0.936519323922889 3.76520207050607
HG00127 HG00127 -0.013279 0.025771 0.00819205 -0.0203091 -0.00196001 -0.000758355 0.0062376 0.00578363 -0.0178993 0.00201756 -0.67140961937664 -2.14491700692999
HG00128 HG00128 -0.0133547 0.0259841 0.00733229 -0.0213576 -0.000784407 -0.00170286 0.00746339 0.00641068 -0.0212507 -0.00117067 1.37459971531053 -12.1550755130697
HG00129 HG00129 -0.0134041 0.025866 0.00829878 -0.0205996 -0.000883207 0.00130243 0.0103926 0.00859268 -0.0207494 -0.000144823 -0.0296191037444917 2.9403300168936
HG00130 HG00130 -0.0132047 0.025305 0.00805364 -0.0206094 -0.000992663 -0.0014642 0.00446364 0.0025127 -0.0196045 -0.00128844 -0.0969741298968969 2.05649236239542
HG00131 HG00131 -0.0128706 0.0253236 0.00968982 -0.0225945 0.00326741 0.00747988 0.00249448 0.00144465 0.0447557 -0.00341248 0.497695061530369 -3.84622207941487
HG00132 HG00132 -0.013368 0.0263072 0.00804054 -0.0210744 -0.00157171 -0.00173925 0.00472549 0.00247174 -0.0177766 -0.000257978 1.90935996216875 -2.62773596771216
HG00133 HG00133 -0.0127777 0.0260579 0.00926242 -0.0221667 0.00147389 0.00571778 0.0032084 0.00306985 0.0274506 -0.0021045 -0.848572683999985 -8.66939876364339
HG00136 HG00136 -0.0131961 0.0249065 0.00851328 -0.0209648 0.000862095 0.00260222 0.00937911 0.00785291 0.00225735 0.000816408 1.81705233822477 -1.28014871439305
HG00137 HG00137 -0.0131848 0.0249793 0.00850084 -0.0208722 0.00157224 0.000755355 0.00747389 0.00557521 0.001709 -0.00212209 -0.0124553296767435 6.56068590586848
HG00138 HG00138 -0.013173 0.0255609 0.0092315 -0.0215634 0.00107037 0.00284143 0.00784794 0.00725286 0.00787747 -0.00200265 0.0495187742261082 1.13705799005706
HG00139 HG00139 -0.0130686 0.0259244 0.00838729 -0.0222737 -0.00137508 -0.000713879 0.00701372 0.0059138 -0.0136823 0.00107294 -0.145594267853427 -4.40858637899386
HG00140 HG00140 -0.0133434 0.0256473 0.00848685 -0.0208304 -0.000724255 0.000328445 0.0101471 0.0085553 -0.00903365 -0.00254923 -0.813113189268576 -8.33269659080514
HG00141 HG00141 -0.0130653 0.0263156 0.00787852 -0.0206081 -0.00242342 0.000480193 0.0106165 0.00815268 -0.022682 -0.00171443 0.0079317043437767 -0.542210391273565
HG00142 HG00142 -0.0132822 0.025272 0.00757513 -0.0208303 6.00885e-05 -0.000955207 0.00445433 0.00339461 -0.0143713 0.00209266 1.29621226908138 1.8467073427196
HG00143 HG00143 -0.0130079 0.0258963 0.00752252 -0.0201842 -0.00048999 0.00106927 0.00484495 0.00328499 -0.0152001 -0.00274338 -0.555572733620141 6.5080185289662
HG00145 HG00145 -0.0132705 0.025357 0.0106253 -0.0229047 0.00653738 0.0118012 0.000629762 0.00189789 0.0776538 -0.00796388 -0.713949630614098 6.77332189156662
HG00146 HG00146 -0.0132609 0.025602 0.00898086 -0.0213237 0.000332304 0.0010872 0.00551024 0.00319737 0.00139912 0.000642349 -0.144877399170998 -4.47631681749549
HG00148 HG00148 -0.0132062 0.0261501 0.00862281 -0.0217182 -0.00126097 -0.000590369 0.00631504 0.0040177 -0.0158831 -0.00394773 0.135188176411209 -1.84027863663687
HG00149 HG00149 -0.0131113 0.0261343 0.00914802 -0.0216765 -0.0023536 -0.000682018 0.00677096 0.00522429 -0.0214126 0.000352999 0.814643743708842 -8.28872200995446
HG00150 HG00150 -0.0132346 0.0249025 0.00821971 -0.0204403 0.00150739 0.00326238 0.00659046 0.00754272 -0.00981406 -0.00127457 0.846303928913132 -8.18685996210324
HG00151 HG00151 -0.0129556 0.0251805 0.00823563 -0.0206743 -0.000489566 0.00108902 0.00799001 0.00808529 -0.0126749 -0.00172478 -0.0773653612076697 -7.13999856637929
HG00154 HG00154 -0.0132418 0.0257869 0.00937809 -0.0217196 0.000397857 0.00174531 0.00666295 0.00666362 0.0105218 -0.00190709 -0.318283723459138 -1.72939512841341
HG00155 HG00155 -0.0133854 0.0253962 0.00920143 -0.0213252 0.001002 0.00455882 0.00756396 0.0062896 0.0105957 -0.00129694 -0.402854173941699 -6.44659132564599
HG00157 HG00157 -0.0134344 0.0254539 0.0106334 -0.0236765 0.00502959 0.0112121 0.00250421 0.00312147 0.0714047 -0.00857422 0.11847125338328 -4.28850921830173
HG00158 HG00158 -0.0130981 0.0251535 0.0100655 -0.0216558 0.00263465 0.00753676 0.00511003 0.00383366 0.0376517 -0.00114815 0.308908665091138 -9.98802107963505
HG00159 HG00159 -0.0130184 0.0254338 0.01005 -0.0223132 0.00272743 0.00682089 0.00411112 0.00319676 0.0253396 -0.000224517 0.263198723053813 -2.58158748944916
HG00160 HG00160 -0.0132917 0.0254678 0.00955578 -0.0214469 0.000301852 0.00419684 0.0057187 0.0030583 0.01393 0.000509038 -0.221235067659483 2.79751008588108
HG00171 HG00171 -0.0138187 0.0203018 0.0103544 -0.0195561 0.00203749 0.0301002 0.0563862 0.0653695 0.00298149 0.00485841 0.27120826879393 -4.41040820214985
HG00173 HG00173 -0.0137649 0.0213998 0.00995508 -0.0194984 0.001585 0.025201 0.0522279 0.0619321 -0.00792562 0.00280009 0.106441392897062 -5.15162009142068
HG00174 HG00174 -0.0135218 0.0230404 0.0105341 -0.0207156 0.00163169 0.0204311 0.0415764 0.0488558 0.00156413 0.00184352 -0.726753938629347 0.421087122936407
HG00176 HG00176 -0.0134903 0.0215951 0.0104316 -0.0201515 0.0012054 0.0255118 0.0502865 0.0578977 -0.00589631 0.00275167 -0.226971601798645 -5.74320012503635
HG00177 HG00177 -0.0138927 0.0206416 0.00972413 -0.0189311 0.00193937 0.0250983 0.0537324 0.0626274 -0.00664594 0.00396679 -0.742033545793702 -5.6133728633209
HG00178 HG00178 -0.0133773 0.0222244 0.00996358 -0.0209714 0.00053035 0.0242901 0.0477226 0.0555323 -0.00927726 0.00111072 1.042184771825 -3.66932055321739
HG00179 HG00179 -0.0136619 0.0213252 0.0101568 -0.0203217 0.00287887 0.025132 0.0486388 0.0571268 0.011184 -0.000403763 1.43664849392411 -3.49370049728986
HG00180 HG00180 -0.0138483 0.0213513 0.00960419 -0.0195796 0.00129342 0.0219762 0.0461178 0.0547157 -0.00925351 0.00320158 -0.564892172075916 3.59351419790477
HG00181 HG00181 -0.0127585 0.0220495 0.00777262 -0.0193005 -0.000113067 0.0159005 0.0304929 0.0366116 -0.0130077 0.00249385 -1.44729668696155 1.18065435745499
HG00182 HG00182 -0.0134406 0.0210937 0.0105145 -0.0197546 0.00299377 0.0297956 0.0503993 0.0614314 0.0134942 0.000536072 0.041790577343526 -2.15976114537475
HG00183 HG00183 -0.0138138 0.0213859 0.00994607 -0.0200644 0.00110814 0.025655 0.0560662 0.064644 -0.00715405 0.00390916 0.12087590733728 -3.75776621195054
HG00185 HG00185 -0.0133989 0.0210629 0.00938983 -0.0199693 0.00191898 0.026732 0.0532935 0.063639 -0.000744698 0.00243109 0.564308412511217 -2.40966122255748
HG00186 HG00186 -0.0136234 0.0215595 0.0110132 -0.0212024 0.00428483 0.0292581 0.0521073 0.0632982 0.0150772 0.00232418 1.0652203520231 0.797930095500866
HG00187 HG00187 -0.0134193 0.0205738 0.0100002 -0.019922 0.00222438 0.0288574 0.0542681 0.0658349 -0.00498752 0.00438318 1.65871491567817 0.0530527770463776
HG00188 HG00188 -0.0135928 0.0227355 0.00982044 -0.0205008 0.000200875 0.022102 0.0478623 0.0549028 -0.0128612 0.00248173 0.484060643800884 -10.9679004730365
HG00189 HG00189 -0.0136097 0.0220346 0.0103262 -0.0205642 0.00131663 0.0218199 0.0477786 0.0546106 -0.00761605 0.00312176 1.60052898234302 5.05617222032774
HG00190 HG00190 -0.0135398 0.0221568 0.00887399 -0.0195698 0.00132021 0.0191832 0.0433445 0.0485355 -0.00900505 0.00200094 -0.639311360626876 -8.64227175214996
HG00231 HG00231 -0.0130741 0.0259004 0.00861663 -0.0209492 -0.00115763 -0.000926259 0.00286218 0.00178928 -0.0145097 -0.000301506 -1.11964142351735 -13.8173561594264
HG00232 HG00232 -0.0134068 0.0255404 0.0084524 -0.0206012 0.000171735 0.00115933 0.00660336 0.00672812 0.00715496 -0.00264737 -0.141145244482669 4.3997582274371
HG00233 HG00233 -0.0128247 0.0252237 0.00828328 -0.0198299 -0.000695866 -0.00168846 0.00485432 0.00262663 -0.017659 0.00170718 -0.364655188928821 -1.1020524255822
HG00234 HG00234 -0.0133636 0.0255812 0.0083313 -0.0203431 -0.00112239 -0.00180092 0.00608339 0.00507197 -0.0215626 0.000691011 -0.0128494957477857 -7.06979708813873
HG00235 HG00235 -0.0133521 0.0260098 0.00811733 -0.0204785 -0.000221336 -0.00125863 0.00705845 0.00507814 -0.0204215 -0.000930591 -0.153223965256076 -1.82551663357669
HG00236 HG00236 -0.0128834 0.0258787 0.0088951 -0.0218973 -0.000466206 -0.000432063 0.00767034 0.00561196 -0.00771676 0.000875785 0.697982876502822 -7.11066330951915
HG00237 HG00237 -0.0131965 0.0256667 0.00862717 -0.0218715 -0.00127522 -0.00104696 0.00915655 0.00814073 -0.00944093 0.000165055 0.14209772431328 -5.68511282194429
HG00238 HG00238 -0.013279 0.0256294 0.00812961 -0.0203106 -0.0020468 -0.00227948 0.00612901 0.00388541 -0.0218243 0.000518629 -0.101124202580796 -16.1380979365282
HG00239 HG00239 -0.0130272 0.0262945 0.00909418 -0.0216139 -0.000380782 0.00286241 0.0075449 0.00612027 -0.00687026 0.000415714 1.81583612568503 -0.672282603683971
HG00240 HG00240 -0.01341 0.0261375 0.00849915 -0.0208526 -0.00150184 -0.00146845 0.00735557 0.00541474 -0.0216047 -2.62446e-05 -1.05051279010997 -6.80950372807188
HG00242 HG00242 -0.0129266 0.0254862 0.0091577 -0.0212161 0.00257073 0.00483699 0.00513595 0.00522461 0.0102608 -0.000393916 2.34920046670808 -9.06762679319929
HG00243 HG00243 -0.0131597 0.0262028 0.00874811 -0.0212881 0.00201881 0.00536877 0.00260242 0.00279429 0.0078906 -0.00292584 3.28300718247482 -3.84328175557348
HG00244 HG00244 -0.0131648 0.025991 0.00925988 -0.0221095 0.00174898 0.00461907 0.00220313 -0.00184412 0.0185746 -0.000577989 0.198504881824139 -8.12988008671657
HG00245 HG00245 -0.0129567 0.0251142 0.00851279 -0.0210552 0.000663646 0.00270915 0.00461486 0.00366495 0.00109868 0.00122042 0.753084693921587 -8.82608960403187
HG00246 HG00246 -0.013107 0.0250316 0.00880042 -0.0206203 4.94454e-06 0.000401589 0.00590601 0.00448224 0.00978528 -0.00321082 -1.14135279990381 -7.17584620962483
HG00250 HG00250 -0.0131527 0.02581 0.00879749 -0.0215178 -0.000319055 -0.00188964 0.00634161 0.00339767 -0.00810725 -0.000598681 -0.238779457746115 -3.58569921510475
HG00251 HG00251 -0.0130781 0.0259254 0.00829967 -0.0204627 -3.37065e-06 -0.0025174 0.00376769 0.00126725 -0.00716472 -0.000879834 0.368748562369418 5.47874625605155
HG00252 HG00252 -0.013394 0.0258819 0.009074 -0.0220586 -0.00127041 -0.00180653 0.00802708 0.00585282 -0.0125854 -0.00249239 0.85597800039686 -9.73560322401295
HG00253 HG00253 -0.0132482 0.0260491 0.00846145 -0.0218685 -0.00057824 -0.0013991 0.00632312 0.00372172 -0.0123143 -0.000404371 0.7132953090481 0.701488667172191
HG00254 HG00254 -0.0131362 0.0254549 0.00866303 -0.0207817 -0.00124248 -0.00136619 0.00652106 0.00540963 -0.00653981 -0.000356434 0.273235443321701 -0.620217083464136
HG00255 HG00255 -0.013119 0.0261443 0.00902235 -0.0213748 -0.000926928 0.00049033 0.00564522 0.00423269 -0.00887731 0.000707566 -0.548613185331631 0.671305082136643
HG00256 HG00256 -0.0134353 0.0263546 0.00933468 -0.0227945 -0.001652 -0.000781315 0.00741517 0.00505228 -0.00185551 -0.000594418 -1.32788972834013 -6.1418438251275
HG00257 HG00257 -0.0132212 0.0256769 0.00807842 -0.0206413 -0.00133926 -0.00114316 0.00693703 0.00614395 -0.0088554 0.000445601 -0.095419356427573 -0.836892057902864
HG00258 HG00258 -0.012952 0.0257722 0.00956657 -0.0222663 0.00169657 0.00340286 0.00559505 0.00434963 0.00864962 0.000990351 -0.541989526283125 2.12922184289719
HG00259 HG00259 -0.013163 0.0263194 0.00923912 -0.0225465 -0.000949666 -0.00171377 0.0067377 0.00473629 -0.00750382 -0.00102555 0.307724797678323 -3.31104536665901
HG00260 HG00260 -0.0132518 0.0258051 0.00877876 -0.0213279 -0.00137269 -0.000217205 0.00977176 0.00979698 -0.010471 0.0011386 1.38194056905529 0.624946022637532
HG00261 HG00261 -0.0131461 0.0256292 0.00856021 -0.0220261 -0.000985993 -0.00164244 0.0044087 0.00355511 -0.00726924 -0.00112747 -0.167348581917986 0.257689500906948
HG00262 HG00262 -0.0134448 0.0256891 0.00970367 -0.0220041 0.00329496 0.00799105 0.00594709 0.00301068 0.0267256 -0.000403354 0.464680984065955 -9.70329094163107
HG00263 HG00263 -0.0133763 0.0260038 0.00900336 -0.021642 0.00123263 0.00146343 0.00477539 0.00464094 0.0158568 -0.00266021 -0.165353651599513 6.623576539609
HG00264 HG00264 -0.0129398 0.0257069 0.00956469 -0.0218113 0.00175001 0.00419117 0.00271127 4.95014e-05 0.0208516 -0.00188582 0.983795394133109 4.08364653753166
HG00265 HG00265 -0.0132281 0.0261782 0.0095947 -0.0221351 0.00113113 0.00398466 0.00776583 0.00663238 0.00988113 -0.00146201 0.0833854104460559 1.10738907055597
HG00266 HG00266 -0.0136527 0.0215842 0.00920065 -0.0200377 0.00198341 0.0232268 0.0487286 0.0583485 -0.00793347 0.00317869 0.814317209343551 -4.92557013370338
HG00267 HG00267 -0.0136694 0.0208742 0.0095704 -0.01996 0.000640163 0.0250812 0.0514169 0.0615524 -0.00735682 0.00447919 0.568081855898379 -8.28365405557724
HG00268 HG00268 -0.0135166 0.0228253 0.0101526 -0.0213953 0.000849085 0.020262 0.0490249 0.0567983 0.00236351 0.00140949 1.29160151663185 -0.870519602324012
HG00269 HG00269 -0.013437 0.0214486 0.0100357 -0.0195469 0.00341331 0.0301687 0.0569449 0.0687613 0.00116801 0.00321193 0.972410710663197 -9.24748493314275
HG00271 HG00271 -0.0136309 0.020668 0.0104115 -0.0200684 0.00257609 0.0288746 0.0626137 0.0722263 0.00181581 0.00451019 0.602456483896099 -7.92943477264613
HG00272 HG00272 -0.0135789 0.0199753 0.0104952 -0.020025 0.0051939 0.0335632 0.0548147 0.0645585 0.0276913 0.0020567 -0.45818230272387 -5.01588570112624
HG00273 HG00273 -0.0134753 0.0225335 0.0103955 -0.0219222 0.000995132 0.0228851 0.0502317 0.058015 0.000287773 0.00201061 0.487269533917549 -5.69818634783516
HG00274 HG00274 -0.0136382 0.0226202 0.0111037 -0.0213242 0.00150709 0.0244251 0.0501986 0.0601195 0.00719882 0.00258222 1.75006038090034 -3.97014463953379
HG00275 HG00275 -0.0135348 0.0222754 0.0101825 -0.0212244 0.00226056 0.0217422 0.0438975 0.0510065 0.0281784 0.000421973 -0.484994383350039 4.33826019967275
HG00276 HG00276 -0.0135483 0.0215025 0.010916 -0.0204859 0.00280448 0.0256388 0.0515556 0.0605975 0.0215496 0.00195277 0.921187609929626 -7.2070659629108
HG00277 HG00277 -0.0136377 0.0228652 0.00997259 -0.0206307 0.00173395 0.0174182 0.0368619 0.0426635 0.0129723 0.00119981 0.507907055465889 -0.554907474092862
HG00278 HG00278 -0.0136414 0.0217178 0.00968207 -0.0200243 0.00364095 0.0250017 0.0532863 0.0635752 0.0179675 0.00182441 -1.10658221736126 -6.90002598341949
HG00280 HG00280 -0.0135837 0.0217896 0.0103511 -0.0213495 0.00195565 0.0260027 0.0504004 0.0589097 0.018959 0.00139929 -0.936673311907047 11.3874954051444
HG00281 HG00281 -0.0137625 0.0216183 0.0106099 -0.0202378 0.00191722 0.0257568 0.0511573 0.058436 0.0217483 0.000905727 -1.74465270378324 2.40999857995851
HG00282 HG00282 -0.0135387 0.0213015 0.00992656 -0.021135 0.00222541 0.0268202 0.0542139 0.0635068 0.0168602 0.00153818 1.50335583191148 4.10193748334736
HG00284 HG00284 -0.0138895 0.0219463 0.0107601 -0.0205867 0.00334672 0.0260983 0.0506097 0.0595309 0.0188632 0.00363619 -1.16524679724638 -10.9617496071926
HG00285 HG00285 -0.0137325 0.0209583 0.0108102 -0.0208236 0.00298068 0.0302928 0.0593281 0.0703637 0.0233888 0.00286845 -1.29690764932582 -1.36571039334383
HG00288 HG00288 -0.0139101 0.0225757 0.00939918 -0.0196675 -9.9632e-05 0.0272413 0.0619365 0.0712255 -0.0155748 0.00422809 -0.877951944854791 -1.07039523996301
HG00290 HG00290 -0.0137135 0.0212953 0.00939662 -0.0196765 -0.000877933 0.027924 0.0596473 0.0696441 -0.0143264 0.00443515 -0.860239009784108 -2.63980774144902
HG00304 HG00304 -0.0135448 0.0216005 0.00957683 -0.0194571 0.000366348 0.0258684 0.0565832 0.0660688 -0.0114007 0.00411679 0.556671788857799 -3.1875638918287
HG00306 HG00306 -0.0137161 0.0228448 0.00947011 -0.0201079 0.00267408 0.0221029 0.0420373 0.0467209 0.000505773 0.00343629 0.488847165692456 -2.83337500143829
HG00308 HG00308 -0.0135797 0.02095 0.0102801 -0.0198171 0.00209642 0.0254281 0.0491635 0.0554439 0.00016937 0.00248658 1.09140375777153 -13.5011075165072
HG00309 HG00309 -0.0135224 0.0219637 0.0103944 -0.0204631 0.00139312 0.0223055 0.0506428 0.0594503 -0.00196988 0.00349077 0.253069271666364 -6.32462715623021
HG00310 HG00310 -0.0135966 0.0223915 0.0105533 -0.0217463 0.00357834 0.0226201 0.0456924 0.0536253 0.0352288 -0.000223951 -0.125818603093395 0.911783932956049
HG00311 HG00311 -0.0135098 0.0230958 0.00978877 -0.0203359 0.00201174 0.0187923 0.0362606 0.0422364 0.000369425 0.00352586 0.454127716619528 7.14991586933838
HG00313 HG00313 -0.0136333 0.0212036 0.0103643 -0.0201409 0.00197379 0.0263699 0.0547025 0.0640738 0.00787771 0.00270415 -2.27475348520796 -3.12435522726342
HG00315 HG00315 -0.0135684 0.0212843 0.0103919 -0.0202218 0.00256621 0.0244706 0.0489865 0.0572753 0.00795109 0.000894865 -0.655572134353077 -9.56201438121235
HG00318 HG00318 -0.0135894 0.022448 0.0100217 -0.0209987 0.00182758 0.0232437 0.0478887 0.0552542 0.0110185 0.00187962 0.623815166914473 -3.56422472740404
HG00319 HG00319 -0.0137122 0.0214858 0.0103587 -0.0205502 0.00268294 0.0247245 0.0527364 0.0610043 0.00779729 0.00361464 0.255395692195115 -9.7765816543194
HG00320 HG00320 -0.0135184 0.0216516 0.0102592 -0.0203033 0.00252129 0.0227698 0.0447471 0.0530381 0.0159169 0.00202272 0.351439267775912 -11.6059549661173
HG00321 HG00321 -0.0136692 0.0212165 0.0107525 -0.0206733 0.00186664 0.0258788 0.0529914 0.0630062 0.0130859 0.00150376 0.486851373558323 -2.51346689949801
HG00323 HG00323 -0.0136224 0.0210405 0.0101251 -0.0212996 0.00310517 0.0289249 0.0580167 0.0678913 0.0226343 0.00109097 -0.271904089737588 -9.8342266125837
HG00324 HG00324 -0.0135471 0.0212016 0.0116061 -0.0211489 0.00358803 0.0315319 0.062589 0.0743781 0.035612 -0.000337911 0.888828550320499 -7.52992014932174
HG00325 HG00325 -0.0139613 0.0208633 0.011366 -0.021222 0.00317183 0.0323699 0.0615622 0.0725597 0.0306033 0.00154087 -1.10105558813075 -2.45738882093547
HG00326 HG00326 -0.0136985 0.0214278 0.0107888 -0.0216432 0.00385641 0.0286144 0.0516655 0.0616514 0.0318637 -5.45557e-05 -1.44758527852905 -0.195286273525299
HG00327 HG00327 -0.0134561 0.021043 0.00959893 -0.0200294 0.00152754 0.0244802 0.0502987 0.0587118 0.00999233 0.0014901 1.56753733247174 3.03421034695001
HG00328 HG00328 -0.0138173 0.0219714 0.0119336 -0.0213687 0.00453355 0.0264773 0.0493815 0.0588295 0.0520928 -0.00211419 0.105086977739175 5.40353807511478
HG00329 HG00329 -0.0136664 0.0228994 0.0106964 -0.0218603 0.00217572 0.0245757 0.0462361 0.0536016 0.0295119 4.91665e-05 0.133048618635586 -5.08967347417299
HG00330 HG00330 -0.0134762 0.021524 0.0102966 -0.0205145 0.00278009 0.0215535 0.0431941 0.050964 0.0108396 0.000812902 1.64891728952999 3.77768153427804
HG00331 HG00331 -0.0135545 0.0217207 0.0104806 -0.020623 0.00295376 0.0252733 0.0422274 0.0509438 0.0329199 2.65813e-05 0.251663997598485 -6.02276553723835
HG00332 HG00332 -0.0135712 0.0219178 0.0098607 -0.0196914 0.000944694 0.0194139 0.0458022 0.0523032 -0.00611632 0.00261801 1.08433233783781 9.856638560946
HG00334 HG00334 -0.0135796 0.0229256 0.011736 -0.0231 0.00416566 0.0248029 0.043935 0.0523001 0.0552421 -0.00343974 -1.64159540829353 -6.25036881938709
HG00335 HG00335 -0.0135721 0.022517 0.0104665 -0.0211508 0.00072921 0.02174 0.0517144 0.0603498 -0.00185136 0.00216413 -0.305124883124332 -0.0998550083883272
HG00336 HG00336 -0.0137498 0.0214043 0.0100886 -0.0206133 0.00266212 0.0259762 0.0510796 0.0603326 0.0104252 0.00433634 -1.58291130545082 -8.49940080119464
HG00337 HG00337 -0.0134597 0.022752 0.00994831 -0.020933 0.000374608 0.017957 0.0426102 0.0487843 -0.00514734 0.00191238 -1.53062034069608 -0.482167260136736
HG00338 HG00338 -0.0134666 0.0212582 0.0102443 -0.0202288 0.00294602 0.0248927 0.0522842 0.0600658 0.0216113 0.00186422 1.79332891418558 7.14766860929172
HG00339 HG00339 -0.0135675 0.0213166 0.0101881 -0.0202042 0.00123737 0.020784 0.045009 0.051982 0.0147981 0.00284754 -0.979989966715527 -3.74067652103227
HG00341 HG00341 -0.0128482 0.0221167 0.00772369 -0.0187638 0.000914928 0.0134476 0.0313001 0.0364176 -0.00702059 0.00295215 0.553970527921323 -6.97807494449485
HG00342 HG00342 -0.0136824 0.0215101 0.0112119 -0.0215685 0.00310267 0.0296316 0.0541344 0.064525 0.0327941 -0.000593628 1.26186547708016 -5.79641231142217
HG00343 HG00343 -0.0136621 0.0216421 0.0106106 -0.020751 0.00261566 0.026308 0.0526628 0.0616666 0.0199048 0.00138761 -0.714394418938192 -6.66981402565508
