afr1_10000 afr2_10000
afr1_10526 afr2_10526
afr1_10527 afr2_10527
afr1_10528 afr2_10528
afr1_10529 afr2_10529
afr1_10530 afr2_10530
afr1_10531 afr2_10531
afr1_10532 afr2_10532
afr1_10533 afr2_10533
afr1_10534 afr2_10534
afr1_10535 afr2_10535
afr1_10536 afr2_10536
afr1_10537 afr2_10537
afr1_10538 afr2_10538
afr1_10539 afr2_10539
afr1_10540 afr2_10540
afr1_10541 afr2_10541
afr1_10542 afr2_10542
afr1_10543 afr2_10543
afr1_10544 afr2_10544
afr1_10545 afr2_10545
afr1_10546 afr2_10546
afr1_10547 afr2_10547
afr1_10548 afr2_10548
afr1_10549 afr2_10549
afr1_10550 afr2_10550
afr1_10551 afr2_10551
afr1_10552 afr2_10552
afr1_10553 afr2_10553
afr1_10554 afr2_10554
afr1_10555 afr2_10555
afr1_10556 afr2_10556
afr1_10557 afr2_10557
afr1_10558 afr2_10558
afr1_10559 afr2_10559
afr1_10560 afr2_10560
afr1_10561 afr2_10561
afr1_10562 afr2_10562
afr1_10563 afr2_10563
afr1_10564 afr2_10564
afr1_10565 afr2_10565
afr1_10566 afr2_10566
afr1_10567 afr2_10567
afr1_10568 afr2_10568
afr1_10569 afr2_10569
afr1_10570 afr2_10570
afr1_10571 afr2_10571
afr1_10572 afr2_10572
afr1_10573 afr2_10573
afr1_10574 afr2_10574
afr1_10575 afr2_10575
afr1_10576 afr2_10576
afr1_10577 afr2_10577
afr1_10578 afr2_10578
afr1_10579 afr2_10579
afr1_10580 afr2_10580
afr1_10581 afr2_10581
afr1_10582 afr2_10582
afr1_10583 afr2_10583
afr1_10584 afr2_10584
afr1_10585 afr2_10585
afr1_10586 afr2_10586
afr1_10587 afr2_10587
afr1_10588 afr2_10588
afr1_10589 afr2_10589
afr1_10590 afr2_10590
afr1_10591 afr2_10591
afr1_10592 afr2_10592
afr1_10593 afr2_10593
afr1_10594 afr2_10594
afr1_10595 afr2_10595
afr1_10596 afr2_10596
afr1_10597 afr2_10597
afr1_10598 afr2_10598
afr1_10599 afr2_10599
afr1_10600 afr2_10600
afr1_10601 afr2_10601
afr1_10602 afr2_10602
afr1_10603 afr2_10603
afr1_10604 afr2_10604
afr1_10605 afr2_10605
afr1_10606 afr2_10606
afr1_10607 afr2_10607
afr1_10608 afr2_10608
afr1_10609 afr2_10609
afr1_10610 afr2_10610
afr1_10611 afr2_10611
afr1_10612 afr2_10612
afr1_10613 afr2_10613
afr1_10614 afr2_10614
afr1_10615 afr2_10615
afr1_10616 afr2_10616
afr1_10617 afr2_10617
afr1_10618 afr2_10618
afr1_10619 afr2_10619
afr1_10620 afr2_10620
afr1_10621 afr2_10621
afr1_10622 afr2_10622
afr1_10623 afr2_10623
afr1_10624 afr2_10624
afr1_10625 afr2_10625
afr1_10626 afr2_10626
afr1_10627 afr2_10627
afr1_10628 afr2_10628
afr1_10629 afr2_10629
afr1_10630 afr2_10630
afr1_10631 afr2_10631
afr1_10632 afr2_10632
afr1_10633 afr2_10633
afr1_10634 afr2_10634
afr1_10635 afr2_10635
afr1_10636 afr2_10636
afr1_10637 afr2_10637
afr1_10638 afr2_10638
afr1_10639 afr2_10639
afr1_10640 afr2_10640
afr1_10641 afr2_10641
afr1_10642 afr2_10642
afr1_10643 afr2_10643
afr1_10644 afr2_10644
afr1_10645 afr2_10645
afr1_10646 afr2_10646
afr1_10647 afr2_10647
afr1_10648 afr2_10648
afr1_10649 afr2_10649
afr1_10650 afr2_10650
afr1_10651 afr2_10651
afr1_10652 afr2_10652
afr1_10653 afr2_10653
afr1_10654 afr2_10654
afr1_10655 afr2_10655
afr1_10656 afr2_10656
afr1_10657 afr2_10657
afr1_10658 afr2_10658
afr1_10659 afr2_10659
afr1_10660 afr2_10660
afr1_10661 afr2_10661
afr1_10662 afr2_10662
afr1_10663 afr2_10663
afr1_10664 afr2_10664
afr1_10665 afr2_10665
afr1_10666 afr2_10666
afr1_10667 afr2_10667
afr1_10668 afr2_10668
afr1_10669 afr2_10669
afr1_10670 afr2_10670
afr1_10671 afr2_10671
afr1_10672 afr2_10672
afr1_10673 afr2_10673
afr1_10674 afr2_10674
afr1_10675 afr2_10675
afr1_10676 afr2_10676
afr1_10677 afr2_10677
afr1_10678 afr2_10678
afr1_10679 afr2_10679
afr1_10680 afr2_10680
afr1_10681 afr2_10681
afr1_10682 afr2_10682
afr1_10683 afr2_10683
afr1_10684 afr2_10684
afr1_10685 afr2_10685
afr1_10686 afr2_10686
afr1_10687 afr2_10687
afr1_10688 afr2_10688
afr1_10689 afr2_10689
afr1_10690 afr2_10690
afr1_10691 afr2_10691
afr1_10692 afr2_10692
afr1_10693 afr2_10693
afr1_10694 afr2_10694
afr1_10695 afr2_10695
afr1_10696 afr2_10696
afr1_10697 afr2_10697
afr1_10698 afr2_10698
afr1_10699 afr2_10699
afr1_10700 afr2_10700
afr1_10701 afr2_10701
afr1_10702 afr2_10702
afr1_10703 afr2_10703
afr1_10704 afr2_10704
afr1_10705 afr2_10705
afr1_10706 afr2_10706
afr1_10707 afr2_10707
afr1_10708 afr2_10708
afr1_10709 afr2_10709
afr1_10710 afr2_10710
afr1_10711 afr2_10711
afr1_10712 afr2_10712
afr1_10713 afr2_10713
afr1_10714 afr2_10714
afr1_10715 afr2_10715
afr1_10716 afr2_10716
afr1_10717 afr2_10717
afr1_10718 afr2_10718
afr1_10719 afr2_10719
afr1_10720 afr2_10720
afr1_10721 afr2_10721
afr1_10722 afr2_10722
afr1_10723 afr2_10723
afr1_10724 afr2_10724
afr1_10725 afr2_10725
afr1_10726 afr2_10726
afr1_10727 afr2_10727
afr1_10728 afr2_10728
afr1_10729 afr2_10729
afr1_10730 afr2_10730
afr1_10731 afr2_10731
afr1_10732 afr2_10732
afr1_10733 afr2_10733
afr1_10734 afr2_10734
afr1_10735 afr2_10735
afr1_10736 afr2_10736
afr1_10737 afr2_10737
afr1_10738 afr2_10738
afr1_10739 afr2_10739
afr1_10740 afr2_10740
afr1_10741 afr2_10741
afr1_10742 afr2_10742
afr1_10743 afr2_10743
afr1_10744 afr2_10744
afr1_10745 afr2_10745
afr1_10746 afr2_10746
afr1_10747 afr2_10747
afr1_10748 afr2_10748
afr1_10749 afr2_10749
afr1_10750 afr2_10750
afr1_10751 afr2_10751
afr1_10752 afr2_10752
afr1_10753 afr2_10753
afr1_10754 afr2_10754
afr1_10755 afr2_10755
afr1_10756 afr2_10756
afr1_10757 afr2_10757
afr1_10758 afr2_10758
afr1_10759 afr2_10759
afr1_10760 afr2_10760
afr1_10761 afr2_10761
afr1_10762 afr2_10762
afr1_10763 afr2_10763
afr1_10764 afr2_10764
afr1_10765 afr2_10765
afr1_10766 afr2_10766
afr1_10767 afr2_10767
afr1_10768 afr2_10768
afr1_10769 afr2_10769
afr1_10770 afr2_10770
afr1_10771 afr2_10771
afr1_10772 afr2_10772
afr1_10773 afr2_10773
afr1_10774 afr2_10774
afr1_10775 afr2_10775
afr1_10776 afr2_10776
afr1_10777 afr2_10777
afr1_10778 afr2_10778
afr1_10779 afr2_10779
afr1_10780 afr2_10780
afr1_10781 afr2_10781
afr1_10782 afr2_10782
afr1_10783 afr2_10783
afr1_10784 afr2_10784
afr1_10785 afr2_10785
afr1_10786 afr2_10786
afr1_10787 afr2_10787
afr1_10788 afr2_10788
afr1_10789 afr2_10789
afr1_10790 afr2_10790
afr1_10791 afr2_10791
afr1_10792 afr2_10792
afr1_10793 afr2_10793
afr1_10794 afr2_10794
afr1_10795 afr2_10795
afr1_10796 afr2_10796
afr1_10797 afr2_10797
afr1_10798 afr2_10798
afr1_10799 afr2_10799
afr1_10800 afr2_10800
afr1_10801 afr2_10801
afr1_10802 afr2_10802
afr1_10803 afr2_10803
afr1_10804 afr2_10804
afr1_10805 afr2_10805
afr1_10806 afr2_10806
afr1_10807 afr2_10807
afr1_10808 afr2_10808
afr1_10809 afr2_10809
afr1_10810 afr2_10810
afr1_10811 afr2_10811
afr1_10812 afr2_10812
afr1_10813 afr2_10813
afr1_10814 afr2_10814
afr1_10815 afr2_10815
afr1_10816 afr2_10816
afr1_10817 afr2_10817
afr1_10818 afr2_10818
afr1_10819 afr2_10819
afr1_10820 afr2_10820
afr1_10821 afr2_10821
afr1_10822 afr2_10822
afr1_10823 afr2_10823
afr1_10824 afr2_10824
afr1_10825 afr2_10825
afr1_10826 afr2_10826
afr1_10827 afr2_10827
afr1_10828 afr2_10828
afr1_10829 afr2_10829
afr1_10830 afr2_10830
afr1_10831 afr2_10831
afr1_10832 afr2_10832
afr1_10833 afr2_10833
afr1_10834 afr2_10834
afr1_10835 afr2_10835
afr1_10836 afr2_10836
afr1_10837 afr2_10837
afr1_10838 afr2_10838
afr1_10839 afr2_10839
afr1_10840 afr2_10840
afr1_10841 afr2_10841
afr1_10842 afr2_10842
afr1_10843 afr2_10843
afr1_10844 afr2_10844
afr1_10845 afr2_10845
afr1_10846 afr2_10846
afr1_10847 afr2_10847
afr1_10848 afr2_10848
afr1_10849 afr2_10849
afr1_10850 afr2_10850
afr1_10851 afr2_10851
afr1_10852 afr2_10852
afr1_10853 afr2_10853
afr1_10854 afr2_10854
afr1_10855 afr2_10855
afr1_10856 afr2_10856
afr1_10857 afr2_10857
afr1_10858 afr2_10858
afr1_10859 afr2_10859
afr1_10860 afr2_10860
afr1_10861 afr2_10861
afr1_10862 afr2_10862
afr1_10863 afr2_10863
afr1_10864 afr2_10864
afr1_10865 afr2_10865
afr1_10866 afr2_10866
afr1_10867 afr2_10867
afr1_10868 afr2_10868
afr1_10869 afr2_10869
afr1_10870 afr2_10870
afr1_10871 afr2_10871
afr1_10872 afr2_10872
afr1_10873 afr2_10873
afr1_10874 afr2_10874
afr1_10875 afr2_10875
afr1_10876 afr2_10876
afr1_10877 afr2_10877
afr1_10878 afr2_10878
afr1_10879 afr2_10879
afr1_10880 afr2_10880
afr1_10881 afr2_10881
afr1_10882 afr2_10882
afr1_10883 afr2_10883
afr1_10884 afr2_10884
afr1_10885 afr2_10885
afr1_10886 afr2_10886
afr1_10887 afr2_10887
afr1_10888 afr2_10888
afr1_10889 afr2_10889
afr1_10890 afr2_10890
afr1_10891 afr2_10891
afr1_10892 afr2_10892
afr1_10893 afr2_10893
afr1_10894 afr2_10894
afr1_10895 afr2_10895
afr1_10896 afr2_10896
afr1_10897 afr2_10897
afr1_10898 afr2_10898
afr1_10899 afr2_10899
afr1_10900 afr2_10900
afr1_10901 afr2_10901
afr1_10902 afr2_10902
afr1_10903 afr2_10903
afr1_10904 afr2_10904
afr1_10905 afr2_10905
afr1_10906 afr2_10906
afr1_10907 afr2_10907
afr1_10908 afr2_10908
afr1_10909 afr2_10909
afr1_10910 afr2_10910
afr1_10911 afr2_10911
afr1_10912 afr2_10912
afr1_10913 afr2_10913
afr1_10914 afr2_10914
afr1_10915 afr2_10915
afr1_10916 afr2_10916
afr1_10917 afr2_10917
afr1_10918 afr2_10918
afr1_10919 afr2_10919
afr1_10920 afr2_10920
afr1_10921 afr2_10921
afr1_10922 afr2_10922
afr1_10923 afr2_10923
afr1_10924 afr2_10924
afr1_10925 afr2_10925
afr1_10926 afr2_10926
afr1_10927 afr2_10927
afr1_10928 afr2_10928
afr1_10929 afr2_10929
afr1_10930 afr2_10930
afr1_10931 afr2_10931
afr1_10932 afr2_10932
afr1_10933 afr2_10933
afr1_10934 afr2_10934
afr1_10935 afr2_10935
afr1_10936 afr2_10936
afr1_10937 afr2_10937
afr1_10938 afr2_10938
afr1_10939 afr2_10939
afr1_10940 afr2_10940
afr1_10941 afr2_10941
afr1_10942 afr2_10942
afr1_10943 afr2_10943
afr1_10944 afr2_10944
afr1_10945 afr2_10945
afr1_10946 afr2_10946
afr1_10947 afr2_10947
afr1_10948 afr2_10948
afr1_10949 afr2_10949
afr1_10950 afr2_10950
afr1_10951 afr2_10951
afr1_10952 afr2_10952
afr1_10953 afr2_10953
afr1_10954 afr2_10954
afr1_10955 afr2_10955
afr1_10956 afr2_10956
afr1_10957 afr2_10957
afr1_10958 afr2_10958
afr1_10959 afr2_10959
afr1_10960 afr2_10960
afr1_10961 afr2_10961
afr1_10962 afr2_10962
afr1_10963 afr2_10963
afr1_10964 afr2_10964
afr1_10965 afr2_10965
afr1_10966 afr2_10966
afr1_10967 afr2_10967
afr1_10968 afr2_10968
afr1_10969 afr2_10969
afr1_10970 afr2_10970
afr1_10971 afr2_10971
afr1_10972 afr2_10972
afr1_10973 afr2_10973
afr1_10974 afr2_10974
afr1_10975 afr2_10975
afr1_10976 afr2_10976
afr1_10977 afr2_10977
afr1_10978 afr2_10978
afr1_10979 afr2_10979
afr1_10980 afr2_10980
afr1_10981 afr2_10981
afr1_10982 afr2_10982
afr1_10983 afr2_10983
afr1_10984 afr2_10984
afr1_10985 afr2_10985
afr1_10986 afr2_10986
afr1_10987 afr2_10987
afr1_10988 afr2_10988
afr1_10989 afr2_10989
afr1_10990 afr2_10990
afr1_10991 afr2_10991
afr1_10992 afr2_10992
afr1_10993 afr2_10993
afr1_10994 afr2_10994
afr1_10995 afr2_10995
afr1_10996 afr2_10996
afr1_10997 afr2_10997
afr1_10998 afr2_10998
